št. meritve,tlak,temperatura,temperatura Kelvin,,,,
1,98,94,34,4,307,4,319.218241
2,98,94,34,4,307,4,319.218241
3,98,88,34,3,307,3,319.218241
4,98,84,34,3,307,3,319.218241
5,98,79,34,2,307,2,319.218241
6,98,73,34,2,307,2,319.218241
7,98,67,34,1,307,1,319.218241
8,98,62,34,0,307,0,319.218241
9,98,60,33,9,306,9,320.2614379
10,98,56,33,8,306,8,320.2614379
11,98,55,33,8,306,8,320.2614379
12,98,56,33,7,306,7,320.2614379
13,98,55,33,6,306,6,320.2614379
14,98,47,33,5,306,5,320.2614379
15,98,35,33,5,306,5,320.2614379
16,98,15,33,3,306,3,320.2614379
17,98,11,33,2,306,2,320.2614379
18,98,7,33,1,306,1,320.2614379
19,98,18,33,0,306,0,320.2614379
20,98,7,32,8,305,8,321.3114754
21,98,0,32,7,305,7,321.3114754
22,97,96,32,5,305,5,318.0327869
23,97,94,32,4,305,4,318.0327869
24,97,89,32,2,305,2,318.0327869
25,97,82,32,1,305,1,318.0327869
26,97,74,31,9,304,9,319.0789474
27,97,70,31,7,304,7,319.0789474
28,97,70,31,5,304,5,319.0789474
29,97,68,31,4,304,4,319.0789474
30,97,63,31,2,304,2,319.0789474
31,97,56,30,6,303,6,320.1320132
32,97,56,30,4,303,4,320.1320132
33,97,46,30,2,303,2,320.1320132
34,97,39,30,0,303,0,320.1320132
35,97,36,29,8,302,8,321.192053
36,97,32,29,5,302,5,321.192053
37,97,29,29,3,302,3,321.192053
38,97,28,29,1,302,1,321.192053
39,97,28,28,9,301,9,322.2591362
40,97,23,28,7,301,7,322.2591362
41,97,23,28,5,301,5,322.2591362
42,97,23,28,3,301,3,322.2591362
43,97,17,28,1,301,1,322.2591362
44,97,17,27,9,300,9,323.3333333
45,97,11,27,7,300,7,323.3333333
46,97,9,27,5,300,5,323.3333333
47,97,3,27,3,300,3,323.3333333
48,97,0,27,1,300,1,323.3333333
49,96,96,26,9,299,9,321.0702341
50,96,94,26,7,299,7,321.0702341
51,96,94,26,5,299,5,321.0702341
52,96,93,26,3,299,3,321.0702341
53,96,93,26,2,299,2,321.0702341
54,96,89,26,0,299,0,321.0702341
55,96,89,25,8,298,8,322.147651
56,96,84,25,6,298,6,322.147651
57,96,82,25,4,298,4,322.147651
58,96,48,25,0,298,0,322.147651
59,96,53,24,8,297,8,323.2323232
60,96,54,24,7,297,7,323.2323232
,,,,,,,320.6917641
